"LOCATION","Location","OFFENCE","Offence","SCENE","Scene","YEAR","Year","MEASURE","Measure",Value,Flags
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2013","YE 30 June 2013","RECORDED","Recorded",327,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2014","YE 30 June 2014","RECORDED","Recorded",253,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",1533,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",1548,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",1455,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",1415,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",1640,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",1797,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",1879,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2002","YE 30 June 2002","RECORDED","Recorded",1857,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2003","YE 30 June 2003","RECORDED","Recorded",1320,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2004","YE 30 June 2004","RECORDED","Recorded",1453,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2005","YE 30 June 2005","RECORDED","Recorded",955,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2006","YE 30 June 2006","RECORDED","Recorded",1248,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2007","YE 30 June 2007","RECORDED","Recorded",981,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2008","YE 30 June 2008","RECORDED","Recorded",1296,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2009","YE 30 June 2009","RECORDED","Recorded",1936,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2010","YE 30 June 2010","RECORDED","Recorded",1867,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2011","YE 30 June 2011","RECORDED","Recorded",1347,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2012","YE 30 June 2012","RECORDED","Recorded",1259,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2013","YE 30 June 2013","RECORDED","Recorded",1020,
"BG","Northland District","10","Illicit drug offences","Z","Total Scene","2014","YE 30 June 2014","RECORDED","Recorded",903,
"BG","Northland District","11","Prohibited and regulated weapons and explosives offences","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",295,
"BG","Northland District","11","Prohibited and regulated weapons and explosives offences","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",262,
"BG","Northland District","11","Prohibited and regulated weapons and explosives offences","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",288,
"BG","Northland District","11","Prohibited and regulated weapons and explosives offences","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",276,
"BG","Northland District","11","Prohibited and regulated weapons and explosives offences","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",316,
"BG","Northland District","11","Prohibited and regulated weapons and explosives offences","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",295,
"BG","Northland District","11","Prohibited and regulated weapons and explosives offences","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",319,
"BG","Northland District","11","Prohibited and regulated weapons and explosives offences","Z","Total Scene","2002","YE 30 June 2002","RECORDED","Recorded",292,
"BG","Northland District","11","Prohibited and regulated weapons and explosives offences","Z","Total Scene","2003","YE 30 June 2003","RECORDED","Recorded",263,
